basis,               method,              max_bond,            noise,               size,                rate                
2,                  t_prod_state,       False,              0.1,                6,                  1.0                 
2,                  t_prod_state,       False,              0.2,                6,                  1.0                 
2,                  t_prod_state,       False,              0.3,                6,                  0.98                
2,                  t_prod_state,       False,              0.4,                6,                  0.74                
2,                  t_prod_state,       False,              0.5,                6,                  0.38                
2,                  t_prod_state,       False,              0.6,                6,                  0.2                 
2,                  t_prod_state,       False,              0.7,                6,                  0.12                
2,                  t_prod_state,       False,              0.8,                6,                  0.11                
2,                  t_prod_state,       False,              0.9,                6,                  0.09                
2,                  t_prod_state,       False,              0.1,                8,                  1.0                 
2,                  t_prod_state,       False,              0.2,                8,                  0.89                
2,                  t_prod_state,       False,              0.3,                8,                  0.29                
2,                  t_prod_state,       False,              0.4,                8,                  0.1                 
2,                  t_prod_state,       False,              0.5,                8,                  0.02                
2,                  t_prod_state,       False,              0.6,                8,                  0.04                
2,                  t_prod_state,       False,              0.7,                8,                  0.02                
2,                  t_prod_state,       False,              0.8,                8,                  0.01                
2,                  t_prod_state,       False,              0.9,                8,                  0.01                
2,                  t_prod_state,       False,              0.1,                10,                 0.92                
2,                  t_prod_state,       False,              0.2,                10,                 0.13                
2,                  t_prod_state,       False,              0.3,                10,                 0.03                
2,                  t_prod_state,       False,              0.4,                10,                 0.01                
2,                  t_prod_state,       False,              0.5,                10,                 0.0                 
2,                  t_prod_state,       False,              0.6,                10,                 0.01                
2,                  t_prod_state,       False,              0.7,                10,                 0.0                 
2,                  t_prod_state,       False,              0.8,                10,                 0.0                 
2,                  t_prod_state,       False,              0.9,                10,                 0.0                 
2,                  t_prod_state,       False,              0.1,                12,                 0.1                 
2,                  t_prod_state,       False,              0.2,                12,                 0.02                
2,                  t_prod_state,       False,              0.3,                12,                 0.0                 
2,                  t_prod_state,       False,              0.4,                12,                 0.0                 
2,                  t_prod_state,       False,              0.5,                12,                 0.0                 
2,                  t_prod_state,       False,              0.6,                12,                 0.0                 
2,                  t_prod_state,       False,              0.7,                12,                 0.0                 
2,                  t_prod_state,       False,              0.8,                12,                 0.0                 
2,                  t_prod_state,       False,              0.9,                12,                 0.0                 
