size,               max_bond,           fail_rate,          fail_std,           avg_dmrg_time,      std_dmrg_time,      avg_exact_time,     std_exact_time      
5,                  4,                  0.0,                0.0,                0.03472843170166016,                    0.016688986135041776,                    0.0001464366912841797,                    4.739264821039361e-05                    
10,                 4,                  0.0,                0.0,                0.1268315553665161, 0.05452943067684649,                    0.0002563238143920898,                    6.534534817895579e-05                    
15,                 4,                  0.0,                0.0,                0.22102622985839843,                    0.07712799182294827,                    0.0017274379730224609,                    0.00014514974006282834                    
20,                 4,                  0.0,                0.0,                0.33807806968688964,                    0.08223074096368109,                    0.09850101470947266,                    0.01479780981232246 
21,                 4,                  0.0,                0.0,                0.3201259136199951, 0.11223771886860749,                    0.19699764251708984,                    0.015313325821048282                    
22,                 4,                  0.0,                0.0,                0.37067575454711915,                    0.12063304613990165,                    0.520424747467041,  0.005911959372080562                    
23,                 4,                  0.0,                0.0,                0.3992199182510376, 0.1040357978998656, 0.9252793312072753, 0.01171911467104535 
24,                 4,                  0.1,                0.30000000000000004,                    0.3431795358657837, 0.12023890296474621,                    1.6713668346405028, 0.017610767415294475                    
25,                 4,                  0.0,                0.0,                0.31176726818084716,                    0.15052413343295823,                    3.064645457267761,  0.017453696107456732                    
5,                  6,                  0.0,                0.0,                0.022893643379211424,                    0.013663567499883466,                    0.00013701915740966798,                    3.975147042138213e-05                    
10,                 6,                  0.0,                0.0,                0.38543508052825926,                    0.07438366894389427,                    0.0005212783813476563,                    2.1997444422733945e-05                    
15,                 6,                  0.0,                0.0,                0.6704221963882446, 0.13556897025491202,                    0.0014396429061889649,                    0.00016351545209486223                    
20,                 6,                  0.0,                0.0,                0.9203012228012085, 0.2648483544014261, 0.024907922744750975,                    0.013280884778029127                    
21,                 6,                  0.0,                0.0,                0.8921651840209961, 0.32274234356626713,                    0.13616130352020264,                    0.012114867712351571                    
22,                 6,                  0.0,                0.0,                0.8628026247024536, 0.35542611129702645,                    0.36499629020690916,                    0.07610523773335358 
23,                 6,                  0.0,                0.0,                0.9287683010101319, 0.33857515661947796,                    0.9073314905166626, 0.032832155737407685                    
24,                 6,                  0.0,                0.0,                1.0817357063293458, 0.32576400086814605,                    1.7251477241516113, 0.035614731942738384                    
25,                 6,                  0.0,                0.0,                1.1776126146316528, 0.29106338553022737,                    3.2604953050613403, 0.058237268479975436                    
5,                  8,                  0.0,                0.0,                0.021908092498779296,                    0.01412332748709544,                    0.00015614032745361328,                    5.638954240146136e-05                    
10,                 8,                  0.0,                0.0,                0.4427113771438599, 0.12669297556071799,                    0.0005089282989501953,                    2.6789210618049718e-05                    
15,                 8,                  0.0,                0.0,                0.8068748950958252, 0.17017296234767332,                    0.0014482736587524414,                    1.732902926677717e-05                    
20,                 8,                  0.0,                0.0,                1.0035399913787841, 0.3533681506718247, 0.029377126693725587,                    0.014503401401727676                    
21,                 8,                  0.0,                0.0,                0.9583641767501831, 0.4004135743525115, 0.07022395133972167,                    0.032929410132721076                    
22,                 8,                  0.0,                0.0,                1.1499395370483398, 0.40836649055832797,                    0.37231547832489015,                    0.08106322475864965 
23,                 8,                  0.0,                0.0,                1.1059797763824464, 0.48271358496791295,                    1.0422579526901246, 0.008331796535274393                    
24,                 8,                  0.0,                0.0,                1.4857786417007446, 0.2806242104531066, 1.916425061225891,  0.009835726265766166                    
25,                 8,                  0.0,                0.0,                1.3894030570983886, 0.4913786410760785, 3.661788821220398,  0.016643843036433226                    
